cpu_percent,memory_percent,timestamp
0.0,69.2,2019-09-20 18:49:02.757040
0.0,69.8,2019-09-20 18:49:05.762088
0.0,69.4,2019-09-20 18:49:08.765132
0.0,69.4,2019-09-20 18:49:11.765930
0.0,69.5,2019-09-20 18:49:14.771703
0.0,69.7,2019-09-20 18:49:17.777288
0.0,70.6,2019-09-20 18:49:20.780422
100.0,71.5,2019-09-20 18:49:23.782396
0.0,71.2,2019-09-20 18:49:26.785197
0.0,70.9,2019-09-20 18:49:29.789249
50.0,70.9,2019-09-20 18:49:32.792216
0.0,70.6,2019-09-20 18:49:35.793901
0.0,71.2,2019-09-20 18:49:38.798688
0.0,70.7,2019-09-20 18:49:41.801914
0.0,69.8,2019-09-20 18:49:44.803210
0.0,70.1,2019-09-20 18:49:47.806559
0.0,71.5,2019-09-20 18:49:50.807449
0.0,71.9,2019-09-20 18:49:53.807867
0.0,71.9,2019-09-20 18:49:56.808559
0.0,71.6,2019-09-20 18:49:59.809014
0.0,71.9,2019-09-20 18:50:02.810646
0.0,71.8,2019-09-20 18:50:05.814804
100.0,72.3,2019-09-20 18:50:08.815324
50.0,72.5,2019-09-20 18:50:11.820140
0.0,71.8,2019-09-20 18:50:14.823170
0.0,71.5,2019-09-20 18:50:17.825493
0.0,71.7,2019-09-20 18:50:20.828443
100.0,71.8,2019-09-20 18:50:23.830066
0.0,72.5,2019-09-20 18:50:26.834654
0.0,72.9,2019-09-20 18:50:29.837807
cpu_percent,memory_percent,timestamp
0.0,81.7,2019-09-21 13:14:19.902418
0.0,81.8,2019-09-21 13:14:22.902868
0.0,80.7,2019-09-21 13:14:25.905870
0.0,80.5,2019-09-21 13:14:28.909360
0.0,80.7,2019-09-21 13:14:31.910389
0.0,80.7,2019-09-21 13:14:34.914809
0.0,80.1,2019-09-21 13:14:37.915165
0.0,80.1,2019-09-21 13:14:40.918858
0.0,79.9,2019-09-21 13:14:43.923206
0.0,80.1,2019-09-21 13:14:46.926550
0.0,80.2,2019-09-21 13:14:49.929137
50.0,80.2,2019-09-21 13:14:52.930269
0.0,80.1,2019-09-21 13:14:55.931572
0.0,79.9,2019-09-21 13:14:58.933154
0.0,80.1,2019-09-21 13:15:01.937828
0.0,80.4,2019-09-21 13:15:04.941442
0.0,80.1,2019-09-21 13:15:07.947035
0.0,80.2,2019-09-21 13:15:10.951451
0.0,80.6,2019-09-21 13:15:13.955904
50.0,80.6,2019-09-21 13:15:16.960097
0.0,80.7,2019-09-21 13:15:19.965658
100.0,80.4,2019-09-21 13:15:22.970064
0.0,81.5,2019-09-21 13:15:25.971016
0.0,82.7,2019-09-21 13:15:28.971511
0.0,82.1,2019-09-21 13:15:31.975038
0.0,82.6,2019-09-21 13:15:34.978573
0.0,82.7,2019-09-21 13:15:37.981802
0.0,80.3,2019-09-21 13:15:40.984350
100.0,80.2,2019-09-21 13:15:43.984976
0.0,80.3,2019-09-21 13:15:46.987579
